test,predict,testlabel,predictlabel
0.620230769,0.6234622,0,0
0.624666667,0.6491651,0,1
0.6716666669999999,0.6781161,1,1
0.701666667,0.6624151,2,1
0.7277692310000001,0.69362026,2,1
