kf, avgmse, stdmse, avgmae, stdmae, avgmape, stdmape, avgr2, stdr2, avgacc, stdacc, avgbal_acc, stdbal_acc
1,0.0008510342059263919,0.0005886866738979323,0.021693555474420183,0.006306984465719013,0.031952161386544095,0.009132203293645084,0.46857801678974137,0.36760101715505944,0.7200000000000001,0.09797958971132716,0.7,0.12472191289246473
2,0.002212687346721816,0.00024639919266679404,0.039409932383569365,0.0030327973279483003,0.056756004664685944,0.0053845009628690895,0.4032060384914094,0.06645744620088069,0.5199999999999999,0.09797958971132709,0.5666666666666667,0.13333333333333333
3,0.0007034248124732512,0.00019433102666266004,0.020131274182653796,0.0028786280545676775,0.029878865061985282,0.004168401825259563,0.5346463018724015,0.1285605231928617,0.8,0.0,0.8333333333333334,0.0
4,0.0012024511115502731,0.0002332289639505706,0.02744865798224976,0.0032899357246613256,0.039552848020829465,0.004865156364184055,0.5918541733331624,0.07916448941656269,0.6,0.1788854381999832,0.6666666666666667,0.14907119849998599
5,0.0008470869802450794,0.00021683890390041783,0.022024874165112347,0.0027243167286570185,0.03218023430063026,0.0035437962387427032,0.522591839195732,0.12220783073771391,0.6,0.1264911064067352,0.6,0.13333333333333336
6,0.0008764096036354158,0.0002816344067623257,0.02373299090919554,0.00413154271787366,0.034268810300109045,0.005810925214918917,0.4384527931074379,0.1804533106736906,0.6,0.1788854381999832,0.6666666666666667,0.14907119849998599
7,0.002051318434523604,0.0005436724966500316,0.03815161197763429,0.006257098525321158,0.05931009258086021,0.009663995316934994,-0.6484927332328762,0.43690932860665005,0.4,0.12649110640673517,0.5,0.10540925533894598
8,0.0012093541147117518,0.0003081037133051333,0.028467354539837657,0.003908773782121641,0.04204896613492813,0.006550587353535123,0.4344535680337752,0.14408265835089534,0.5599999999999999,0.23323807579381203,0.5333333333333333,0.19436506316151003
